ITEM ROTI,KODE,CBP
ROTI TAWAR SPECIAL,RTS,15.000
ROTI TAWAR GANDUM,RTG,23.000
ROTI TAWAR PANDAN MANIS,RTPDM,18.000
ROTI TAWAR CHOCO CHIP,RCC,19.500
ROTI TAWAR KLASIK,RTKL,12.500
SANDWICH COKLAT,SCK,6.000
SANDWICH BLUEBERRY,SAB,6.000
SANDWICH KRIM PEANUT,SAP,6.000
SANDWICH KEJU,SKJ,6.000
SANDWICH MARGARIN GULA,SMG,6.000
SANDWICH PANDAN SARIKAYA,SSM,6.000
ROTI TAWAR KUPAS,RKU,18.000
ROTI JUMBO TAWAR KUPAS,RJKU,21.000
ROTI MILK SOFT,RMS,14.000
ROTI TAWAR DOBLE SOFT P,DOP,24.500
ROTI TAWAR DOBLE SOFT,DOM,20.500
ZUPPER SANDWICH KRIM COKLAT,ZSCCK,5.000
ZUPPER SANDWICH KRIM MOCA,ZSCM,5.000
ZUPPER SANDWICH CREAMY SWEET,ZSCS,5.000
ROTI JUMBO TAWAR SPESIAL,RTJS,18.000
ROTI JUMBO MILK SOFT,RJMS,17.500
SANDWICH CHOCO BLAST,SCB,6.000
ZUPER SANDWICH CREAM STRAWBERRY,ZSCST,5.000
CHOCO BUN,ICK GT,4.000
CHOCO CHEESE BUN,ICC GT,4.000
SWEET CHEESE BUN,ISC,4.000
STRAWBERRY BUN - GT,IST,4.000
BLUEBERRY BUN - GT,IBL,4.000
COCONUT.BUN.GT,ICO,4.000
ROTI KRIM COKELAT MESES,SCM,6.000
ZUPERR CREAMY COKELAT,SRC III,5.000
ROTI CREAM COKLAT,SCVIII,5.000
ROTI CREAM KEJU,SCC III,5.000
ROTI CREAM MOCA,SRM III,5.000
ZUPERR CREAMY CHOCO DOUBLE CHOCO,ZCRCC,5.000
ZUPERR CREAMY CHOCO CHOCO BERRY,ZCRCR,5.000
ZUPERR CREAMY CHOCO CHOCO BANANA,ZCRCB,5.000
ROTI SANDROLL ZUPERR CREAMY STRAWBERRY,SRS,5.000
DORAYAKI ISI COKLAT,DIC,6.000
DORAYAKI CHOCO PEANUT,DCP,7.500
DORAYAKI HOKKAIDO CHEESE,DCH,7.500
DORAYAKI HONEY FLAVOR,DHF,5.500
DORAYAKI STRAWBERRY,DST,6.000
DORAYAKI MARTABAK,DMT,6.000
DORAYAKI PANDAN SARIKAYA,DPS,6.000
DORAYAKI NASTAR,DNS,6.000
ROTI KASUR KEJIU,RKJ,14.000
ROTI SISIR MENTEGA,RSM,11.000
ROTI KASUR SUSU,RKS,11.000
ROTI SOBEK COKLAT COKLAT,TOC,18.000
ROTI SOBEK COKLAT KEJU,TCC,18.000
ROTI SOBEK COKLAT SARIKAYA,TCS,18.000
ROTI SOBEK COKLAT STRAWBERRY,TST,18.000
ROTI SOBEK COKLAT BLUEBERRY,TCB,18.000
ROTI KLASIK KRIM MESSES,KKM,11.500
SOBEK DUO STRAWBERRY,TDST,11.000
SOBEK DUO BLUEBERRY,TDCB,11.000
KLASIK BANTAL SWEET CHEESE,KBC,8.500
ROTI MINI COKELAT,RMNC,8.000
ROTI MINI STRAWBERRY,RMNS,8.000
SOBEK DUO COKELAT,TDOC,8.000
SOBEK DUO COKELAT KEJU,TDCC,8.500
SOBEK DUO SARIKAYA,TDCS,8.500
BURGERBUN,BUR,11.000
PLAIN ROLLS,SRPL,11.000
CHIFFON CAKE COKLAT,CCC,5.000
CHIFFON CAKE PANDAN,CCP,5.000
MINI CUPCAKE VANILA COCONUT ISI 6,MCP VI,22.000
SARI CHOCO SPREAD COKLAT,SCSC,18.000
SARI CHOCO SPREAD COKLAT HAZELNUT,SCSCH,22.000
SARI CHOCO MILK 110ML,SCM110,4.000
SARI CHOCO MILK 180ML,SCM180,6.000
KASTELA ORIGINAL MEDIUM,KAOM,105.000
KASTELA ORIGINAL FAMILY,KAOF,255.000
CHESSE CAKE ORIGINAL,CCOR,9.000
BOLU KUKUS PUTIH VANILA,BKV,6.500
LAPIS SURABAYA PREMIUM ORIGINAL,LSPO,12.500
LAPIS SURABAYA PREMIUM KEJU,LSPK,12.500
LAPIS SURABAYA PREMIUM PANDAN,LSPP,12.500
LAPIS SURABAYA PREMIUM MOCA,LSPM,12.500
SOFT CAKE PUTU PANDAN,SCCP,9.500
STEAM CHEESE CAKE STRAWBERRY,STCS,9.500
STEAM CHEESE CAKE,STCC,9.500
STEAM CHEESE CAKE COKELAT,STCK,9.500
STEAM CHEESE CAKE BANANA,STCB,9.500
STEAM CHEESE CAKE TIRAMISU,STCTM,9.500
STEAM CHEESE RED VELVET,STCRV,9.500
SOFT CAKE PISANG IJO,SCPI,9.500
SOFT CAKE ES TELER,SCET,9.500
SOFT CAKE GULA AREN,SCGA,9.500
STEAM CHEESE CAKE SALTED CARAMEL MOCCA,STCCM,9.500
BOLU MINI ORIGINAL,BMO,5.000
WAFFLE ORIGINAL,WFO,5.000
STEAM CHEESE CAKE DUO CHEESE,STCDC,7.000
BAMKUHEM ORIGINAL,BKOR,10.500
BAMKUHEM COKELAT,BKCK,10.500
